"sales","target_population","income","advertising","competitors"
462.386077866934,79,5852,37,2
410.011988561264,129,5609,14,1
362.12987075299,91,4763,25,2
430.38357054545,138,5182,21,4
313.328404894235,144,2098,43,5
281.239234316182,55,3911,28,5
437.819552196237,103,5034,42,3
359.416629563414,139,2866,42,1
345.736462788498,105,3273,42,4
300.929206016895,96,2927,28,1
341.790099523114,146,2571,40,1
352.065648227782,95,3658,35,3
361.842701572719,118,3655,38,4
291.326729458735,107,3475,10,1
263.45258519724,60,2610,29,3
283.777722362507,140,2555,19,5
260.211026217032,75,2932,25,3
340.132114276766,54,3864,35,2
284.502557839432,83,3064,24,5
420.775954392621,145,5431,14,5
269.930976026672,139,2183,20,3
365.731408859409,119,3769,37,2
437.90978672795,114,5196,27,2
338.596106192793,149,2488,42,2
365.809994895249,116,4244,14,4
327.589159392778,121,2826,27,2
326.664494613493,104,2510,49,2
430.453686495398,109,5013,46,4
437.04390154451,79,5580,45,4
275.253255637348,65,3498,17,1
