,age,job,marital,education,default,housing,loan,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
1,33,housemaid,married,high.school,no,no,no,oct,tue,37,1,999,0,nonexistent,-0.1,93.798,-40.4,4.968,5195.8,yes
2,38,technician,married,professional.course,no,yes,yes,mar,thu,63,2,999,0,nonexistent,-1.8,92.843,-50,1.757,5099.1,yes
3,28,technician,single,professional.course,no,yes,no,aug,thu,63,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2,yes
4,73,retired,divorced,high.school,no,no,yes,dec,tue,63,3,6,2,success,-3,92.713,-33,0.707,5023.5,yes
5,38,admin.,married,university.degree,no,yes,no,nov,tue,64,1,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,yes
6,39,services,married,high.school,no,no,no,sep,tue,65,1,999,0,nonexistent,-3.4,92.379,-29.8,0.755,5017.5,yes
7,28,admin.,single,university.degree,no,no,no,jun,mon,69,1,999,1,failure,-2.9,92.963,-40.8,1.266,5076.2,yes
8,28,management,married,university.degree,no,no,no,nov,wed,69,3,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
9,32,management,single,university.degree,no,yes,no,mar,tue,71,3,999,0,nonexistent,-1.8,92.843,-50,1.687,5099.1,yes
10,38,admin.,married,university.degree,no,no,no,nov,thu,71,1,13,1,success,-3.4,92.649,-30.1,0.714,5017.5,yes
11,56,admin.,married,basic.9y,no,yes,no,aug,wed,73,1,4,1,success,-2.9,92.201,-31.4,0.879,5076.2,yes
12,32,admin.,married,university.degree,no,no,no,jun,tue,74,1,4,1,success,-2.9,92.963,-40.8,1.262,5076.2,yes
13,35,entrepreneur,divorced,university.degree,no,no,no,apr,mon,76,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
14,26,blue-collar,married,basic.9y,no,no,no,apr,thu,78,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
15,28,technician,single,professional.course,no,yes,no,aug,thu,78,3,999,0,nonexistent,-2.9,92.201,-31.4,0.851,5076.2,yes
16,36,admin.,married,university.degree,no,yes,yes,oct,mon,78,1,999,1,failure,-3.4,92.431,-26.9,0.743,5017.5,yes
17,33,blue-collar,married,basic.9y,no,no,no,aug,fri,79,1,999,1,failure,-2.9,92.201,-31.4,0.881,5076.2,yes
18,35,student,single,university.degree,no,yes,no,oct,tue,79,2,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,yes
19,27,student,single,high.school,no,yes,no,mar,thu,80,4,999,0,nonexistent,-1.8,92.843,-50,1.65,5099.1,yes
20,31,admin.,married,university.degree,no,no,no,jun,thu,81,2,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
21,31,admin.,single,university.degree,no,no,no,aug,thu,81,1,3,1,success,-2.9,92.201,-31.4,0.829,5076.2,yes
22,48,management,married,university.degree,no,no,no,oct,wed,81,1,6,1,success,-3.4,92.431,-26.9,0.74,5017.5,yes
23,25,student,single,high.school,no,yes,yes,apr,wed,82,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
24,32,admin.,married,university.degree,no,yes,yes,jun,tue,82,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
25,54,admin.,married,unknown,no,yes,no,sep,tue,82,1,999,0,nonexistent,-3.4,92.379,-29.8,0.819,5017.5,yes
26,66,technician,married,professional.course,no,yes,no,mar,tue,83,1,999,0,nonexistent,-1.8,92.843,-50,1.799,5099.1,yes
27,60,self-employed,divorced,university.degree,no,no,no,sep,tue,83,1,3,1,success,-3.4,92.379,-29.8,0.755,5017.5,yes
28,42,management,married,university.degree,no,no,no,oct,tue,83,1,3,1,success,-3.4,92.431,-26.9,0.728,5017.5,yes
29,31,blue-collar,married,basic.9y,no,no,no,apr,tue,84,1,999,1,failure,-1.8,93.075,-47.1,1.453,5099.1,yes
30,31,services,married,basic.9y,no,no,no,jun,mon,84,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,yes
31,42,management,married,basic.6y,no,yes,no,sep,thu,84,3,999,0,nonexistent,-3.4,92.379,-29.8,0.778,5017.5,yes
32,28,technician,single,high.school,no,unknown,unknown,oct,wed,84,1,6,1,success,-3.4,92.431,-26.9,0.742,5017.5,yes
33,59,admin.,married,university.degree,no,no,no,oct,tue,85,1,999,0,nonexistent,-0.1,93.798,-40.4,4.968,5195.8,yes
34,34,self-employed,single,university.degree,no,no,yes,nov,tue,85,1,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
35,32,technician,single,professional.course,no,no,no,aug,fri,87,1,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,yes
36,72,retired,married,professional.course,no,no,no,mar,fri,87,1,3,1,success,-1.8,93.369,-34.8,0.653,5008.7,yes
37,78,retired,married,unknown,no,yes,no,jul,wed,87,3,999,0,nonexistent,-1.7,94.215,-40.3,0.84,4991.6,yes
38,65,retired,single,university.degree,no,no,no,nov,thu,88,2,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes
39,32,admin.,single,university.degree,no,yes,no,jun,thu,89,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
40,29,admin.,single,high.school,no,yes,yes,jun,mon,89,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
41,58,technician,married,professional.course,no,yes,no,aug,tue,89,2,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,yes
42,24,technician,married,university.degree,no,yes,yes,sep,tue,89,2,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes
43,52,admin.,divorced,university.degree,no,yes,no,nov,tue,89,1,3,2,success,-3.4,92.649,-30.1,0.715,5017.5,yes
44,34,admin.,single,university.degree,no,yes,no,nov,thu,89,1,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes
45,42,admin.,married,professional.course,no,yes,no,nov,thu,90,1,999,0,nonexistent,-0.1,93.2,-42,4.245,5195.8,yes
46,40,services,married,high.school,no,yes,no,nov,thu,90,3,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes
47,27,student,single,high.school,no,yes,yes,may,tue,91,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
